Name,Table Name,Extended From Class,CI Family,Created
IBM CICS,cmdb_ci_appl_ibm_cics,Application,cmdb_ci_appl,11/08/2016 19:24
IBM Cloud Space,cmdb_ci_cloud_space,Configuration Item,cmdb_ci_cloud,05/03/2021 23:59
IBM CTG,cmdb_ci_appl_ibm_ctg,Application,cmdb_ci_appl,11/08/2016 19:24
IBM Datacenter,cmdb_ci_ibm_datacenter,Logical Datacenter,cmdb_ci_ibm,05/03/2021 23:41
IBM Frame,cmdb_ci_ibm_frame,Server,cmdb_ci_ibm,06/03/2021 01:06
IBM HMC Processor pool,cmdb_ci_processor_pool,Virtual Machine Object,cmdb_ci_processor,06/03/2021 01:07
IBM HMC Server,cmdb_ci_hmc_server,Server,cmdb_ci_hmc,06/03/2021 00:51
IBM LPAR Instance,cmdb_ci_lpar_instance,Virtual Machine Instance,cmdb_ci_lpar,06/03/2021 01:00
IBM Mainframe,cmdb_ci_mainframe,Server,cmdb_ci_mainframe,06/03/2015 17:57
IBM Mainframe LPAR,cmdb_ci_mainframe_lpar,Server,cmdb_ci_mainframe,06/03/2015 17:57
IBM Websphere,cmdb_ci_app_server_websphere,Application Server,cmdb_ci_app,06/03/2015 17:57
IBM WebSphere Message Broker,cmdb_ci_appl_ibm_wmb,Application,cmdb_ci_appl,11/08/2016 19:25
IBM WebSphere MQ,cmdb_ci_appl_ibm_wmq,Application,cmdb_ci_appl,11/08/2016 19:24
IBM WebSphere MQ Queue,cmdb_ci_appl_ibm_wmq_queue,Application,cmdb_ci_appl,11/08/2016 19:23
IBM WMB Http Listener,cmdb_ci_appl_ibm_wmb_listener,Application,cmdb_ci_appl,11/08/2016 19:24
IBM zOS server,cmdb_ci_ibm_zos_server,Server,cmdb_ci_ibm,16/05/2019 18:13
IIFP,cmdb_ci_directory_iifp,Infrastructure Service,cmdb_ci_directory,11/08/2016 19:23
IIFP Endpoint,cmdb_ci_endpoint_iifp,Endpoint,cmdb_ci_endpoint,11/08/2016 19:22
IIS Virtual Directory,cmdb_ci_iisdirectory,Infrastructure Service,cmdb_ci_iisdirectory,11/08/2016 19:24
IIS Website,cmdb_ci_endpoint_iis,Inclusion Endpoint,cmdb_ci_endpoint,11/08/2016 19:23
Image,cmdb_ci_os_template,Virtual Machine Object,cmdb_ci_os,22/02/2018 19:23
Imaging Device,cmdb_ci_imaging,IoT Device,cmdb_ci_imaging,06/03/2021 00:55
Imaging Hardware,cmdb_ci_imaging_hardware,Configuration Item,cmdb_ci_imaging,11/08/2016 19:22
IMAP Endpoint,cmdb_ci_endpoint_imap,Endpoint,cmdb_ci_endpoint,11/08/2016 19:24
Inclusion Endpoint,cmdb_ci_endpoint_inclusion,Endpoint,cmdb_ci_endpoint,11/08/2016 19:22
Incomplete IP Identified Device,cmdb_ci_incomplete_ip,Configuration Item,cmdb_ci_incomplete,06/03/2021 01:13
Inetinfo service,cmdb_ci_inetinfo,Infrastructure Service,cmdb_ci_inetinfo,11/08/2016 19:23
Information Object,cmdb_ci_information_object,Configuration Item,cmdb_ci_information,27/02/2020 18:14
Informix Catalog,cmdb_ci_db_informix_catalog,Database Instance,cmdb_ci_db,05/03/2021 23:54
Informix Catalog Inclusion,cmdb_ci_db_informix_catalog_inclusion,Inclusion Endpoint,cmdb_ci_db,05/03/2021 23:48
Informix Instance,cmdb_ci_db_informix_instance,Database Instance,cmdb_ci_db,05/03/2021 23:36
Informix Server Endpoint,cmdb_ci_endpoint_informix_server,Endpoint,cmdb_ci_endpoint,05/03/2021 23:26
Infrastructure Service,cmdb_ci_infra_service,Application,cmdb_ci_infra,06/03/2015 17:57
Infrastructure Software,cmdb_ci_inf_software,Software,cmdb_ci_inf,06/03/2015 17:57
Installed Bundles,cmdb_ci_installed_bundles,Virtual Machine Object,cmdb_ci_installed,22/02/2018 19:23
Instance template,cmdb_ci_instance_template,Virtual Machine Object,cmdb_ci_instance,05/03/2021 23:35
inter connect,cmdb_ci_inter_connect,Application,cmdb_ci_inter,22/02/2018 19:23
Inter Connect Endpoint,cmdb_ci_endpoint_inter_connect,Endpoint,cmdb_ci_endpoint,22/02/2018 19:23
Interconnect Instance,cmdb_ci_interconnect_instance,Application,cmdb_ci_interconnect,16/05/2019 18:12
Internet Gateway,cmdb_ci_internet_gateway,Virtual Machine Object,cmdb_ci_internet,22/02/2018 19:23
Internet Gateway Endpoint,cmdb_ci_endpoint_intgateway,Endpoint,cmdb_ci_endpoint,22/02/2018 19:23
Intrusion Detection System,cmdb_ci_ids_network,Network Gear,cmdb_ci_ids,11/08/2016 19:22
IoT Device,cmdb_ci_iot,Hardware,cmdb_ci_iot,06/03/2021 00:13
IoT Gateway,cmdb_ci_iot_gateway,Converged Infrastructure,cmdb_ci_iot,06/03/2021 00:42
IP Address,cmdb_ci_ip_address,Configuration Item,cmdb_ci_ip,06/03/2015 17:57
IP Camera,cmdb_ci_ip_camera,Imaging Device,cmdb_ci_ip,06/03/2021 00:55
IP Device,cmdb_ci_ip_device,Configuration Item,cmdb_ci_ip,06/03/2015 17:57
IP Network,cmdb_ci_ip_network,Configuration Item,cmdb_ci_ip,06/03/2015 17:57
IP Phone,cmdb_ci_ip_phone,Configuration Item,cmdb_ci_ip,06/03/2015 17:57
IP Server,cmdb_ci_ip_server,Infrastructure Service,cmdb_ci_ip,06/03/2015 17:57
IP Service Instance,cmdb_ci_ip_service,Configuration Item,cmdb_ci_ip,06/03/2015 17:57
Iplanet Web Server,cmdb_ci_iplanet_web_server,Web Server,cmdb_ci_iplanet,11/08/2016 19:23
ISA Server,cmdb_ci_lb_isa,Load Balancer,cmdb_ci_lb,11/08/2016 19:23
ISAM Server,cmdb_ci_isam_server,Server,cmdb_ci_isam,22/02/2018 19:23
iSCSI Disk,cmdb_ci_iscsi_disk,SAN Disk,cmdb_ci_iscsi,06/03/2015 17:57
ISCSI Endpoint,cmdb_ci_endpoint_iscsi,Endpoint,cmdb_ci_endpoint,22/02/2018 19:24
iSCSI Export,cmdb_ci_iscsi_export,SAN Export,cmdb_ci_iscsi,11/08/2016 19:24
ITAM Asset Center,cmdb_ci_appl_itam,Application,cmdb_ci_appl,11/08/2016 19:23
ITAM Asset Center Endpoint,cmdb_ci_endpoint_itam,Endpoint,cmdb_ci_endpoint,11/08/2016 19:23
J2EE EAR,cmdb_ci_endpoint_j2ee_ear,Inclusion Endpoint,cmdb_ci_endpoint,11/08/2016 19:24
JavaServer,cmdb_ci_app_server_java,Application Server,cmdb_ci_app,06/03/2015 17:57
JBoss,cmdb_ci_app_server_jboss,Application Server,cmdb_ci_app,06/03/2015 17:57
Jboss Fuse,cmdb_ci_appl_jboss_fuse,Application,cmdb_ci_appl,05/03/2021 23:50
Jboss module,cmdb_ci_app_server_jb_module,Application Server,cmdb_ci_app,11/08/2016 19:24
Jboss Module Inclusion,cmdb_ci_endpoint_jboss,Inclusion Endpoint,cmdb_ci_endpoint,11/08/2016 19:23
JES,cmdb_ci_email_server_jes,Infrastructure Service,cmdb_ci_email,11/08/2016 19:23
JMS Flow Endpoint,cmdb_ci_endpoint_jms_flow,Endpoint,cmdb_ci_endpoint,11/08/2016 19:23
JMS Queue,cmdb_ci_endpoint_jms_queue,Inclusion Endpoint,cmdb_ci_endpoint,11/08/2016 19:22
JMS Server Endpoint,cmdb_ci_endpoint_jms_server,Endpoint,cmdb_ci_endpoint,11/08/2016 19:24
Jrun,cmdb_ci_app_server_jrun,Application Server,cmdb_ci_app,11/08/2016 19:24
Jrun WAR,cmdb_ci_app_server_jrun_war,Application Server,cmdb_ci_app,11/08/2016 19:22
Jrun WAR Inc,cmdb_ci_endpoint_jrun,Inclusion Endpoint,cmdb_ci_endpoint,11/08/2016 19:24
Juniper Firewall Cluster,cmdb_ci_firewall_cluster_juniper,Firewall Cluster,cmdb_ci_firewall,06/03/2021 01:01
Juniper Firewall Device,cmdb_ci_firewall_device_juniper,Firewall Device,cmdb_ci_firewall,06/03/2021 00:39
Kubernetes Cluster,cmdb_ci_kubernetes_cluster,Kubernetes Component,cmdb_ci_kubernetes,06/03/2021 00:02
Kubernetes Component,cmdb_ci_kubernetes_component,Configuration Item,cmdb_ci_kubernetes,05/03/2021 23:29
Kubernetes DaemonSet,cmdb_ci_kubernetes_daemonset,Kubernetes Workload,cmdb_ci_kubernetes,05/03/2021 23:46
Kubernetes Deployment,cmdb_ci_kubernetes_deployment,Kubernetes Workload,cmdb_ci_kubernetes,06/03/2021 00:09
Kubernetes Namespace,cmdb_ci_kubernetes_namespace,Kubernetes Component,cmdb_ci_kubernetes,05/03/2021 23:52
